City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,itarema,-2.9248,-39.9167,24.82,86,99,3.39,BR,1674293954
346,vila velha,-20.3297,-40.2925,23.97,93,75,3.09,BR,1674294023
347,bosaso,11.2842,49.1816,25.99,65,0,8.23,SO,1674294024
348,plettenberg bay,-34.0527,23.3716,24.68,77,29,3.22,ZA,1674294025
349,tyukhtet,56.5389,89.3011,-33.68,95,6,1.42,RU,1674294025
350,kavaratti,10.5669,72.642,26.83,65,1,4.67,IN,1674294026
351,kavieng,-2.5744,150.7967,27.74,76,100,1.72,PG,1674294027
352,nelson bay,-32.7167,152.15,21.67,76,87,7.6,AU,1674294027
353,santa maria,-29.6842,-53.8069,21.61,100,40,1.54,BR,1674294028
354,dzhebariki-khaya,62.2167,135.8,-50.14,99,96,0.28,RU,1674294029
355,khash,28.2211,61.2158,7.35,33,0,3.07,IR,1674294030
356,vao,-22.6667,167.4833,25.91,87,100,12.8,NC,1674294030
357,pontes e lacerda,-15.2261,-59.3353,20.24,98,50,1.48,BR,1674294031
358,neiafu,-18.65,-173.9833,27.92,79,45,6.07,TO,1674294032
359,unai,-16.3575,-46.9061,21.26,88,100,1.27,BR,1674294032
